,COMTRS,LODI,YEAR,Region,perc_cert,LBS_AI,Year_Lodi,acres_grapes
0,0,0,1990,0,0.0,7501.919470333687,1990.0_0.0,179.35566144940552
1,1,0,1990,0,0.0,9837.230903275822,1990.0_0.0,230.3795599596854
2,2,0,1990,0,0.0,8182.169957577081,1990.0_0.0,214.6881744395272
3,3,0,1990,0,0.0,9821.037836573767,1990.0_0.0,226.45243588002435
4,4,0,1990,0,0.0,6356.521597859831,1990.0_0.0,158.58105276671654
5,5,0,1990,0,0.0,14028.84398836019,1990.0_0.0,331.2929618175531
6,6,0,1990,0,0.0,8483.161481213232,1990.0_0.0,203.3118769738091
7,7,0,1990,0,0.0,6373.467394032276,1990.0_0.0,183.963693801278
8,8,0,1990,0,0.0,8133.79276903571,1990.0_0.0,207.33859669948447
9,9,0,1990,0,0.0,8454.465227474147,1990.0_0.0,210.88333477876895
10,10,0,1990,0,0.0,8333.715286934483,1990.0_0.0,222.03615958371702
11,11,0,1990,0,0.0,6398.683064252386,1990.0_0.0,157.67142632631345
12,12,0,1990,0,0.0,8429.538133986736,1990.0_0.0,206.12730165922045
13,13,0,1990,0,0.0,7746.232084324231,1990.0_0.0,197.86927868514175
14,14,0,1990,0,0.0,9714.561327354839,1990.0_0.0,248.68236979525074
15,15,0,1990,0,0.0,8556.080060371905,1990.0_0.0,194.5322391766593
16,16,0,1990,0,0.0,9437.096337408493,1990.0_0.0,233.39911343222738
17,17,0,1990,0,0.0,7306.148039591955,1990.0_0.0,184.63171776695825
18,18,0,1990,0,0.0,7210.748764440697,1990.0_0.0,196.76563447676423
19,19,0,1990,0,0.0,6218.5602945502105,1990.0_0.0,139.2705060463332
20,20,0,1990,0,0.0,8709.094247523815,1990.0_0.0,236.96523420040478
21,21,0,1990,0,0.0,9467.377267037562,1990.0_0.0,224.31390473516456
22,22,0,1990,0,0.0,8545.07337971338,1990.0_0.0,226.48537663529987
23,23,0,1990,0,0.0,9339.372297363681,1990.0_0.0,218.15969106369457
24,24,0,1990,0,0.0,7560.580139598843,1990.0_0.0,172.04285907436983
25,25,0,1990,0,0.0,7806.358555732825,1990.0_0.0,202.381212740584
26,26,0,1990,0,0.0,7741.940843776324,1990.0_0.0,181.89566625595367
27,27,0,1990,0,0.0,12561.679150806729,1990.0_0.0,331.9918193317334
28,28,0,1990,0,0.0,7290.730997735114,1990.0_0.0,185.96502603491373
29,29,0,1990,0,0.0,7636.066725867506,1990.0_0.0,203.89193015554758
30,30,0,1990,0,0.0,11812.81396464224,1990.0_0.0,268.72169782802416
31,31,0,1990,0,0.0,9870.78006029876,1990.0_0.0,248.09603939547742
32,32,0,1990,0,0.0,6077.562621781307,1990.0_0.0,146.83084719930662
33,33,0,1990,0,0.0,9252.651173564986,1990.0_0.0,255.6731057138414
34,34,0,1990,0,0.0,4866.935283786644,1990.0_0.0,112.9430162600906
35,35,0,1990,0,0.0,4461.081632266803,1990.0_0.0,113.26636248172358
36,36,0,1990,0,0.0,8727.609976923657,1990.0_0.0,225.07617983863463
37,37,0,1990,0,0.0,9161.375412857968,1990.0_0.0,247.87785149566375
38,38,0,1990,0,0.0,6806.460555264273,1990.0_0.0,175.1988445788791
39,39,0,1990,0,0.0,10020.33696837308,1990.0_0.0,279.90257611478705
40,40,0,1990,0,0.0,9103.986067519005,1990.0_0.0,206.0932398831136
41,41,0,1990,0,0.0,7612.239765083007,1990.0_0.0,197.56060626872332
42,42,0,1990,0,0.0,7116.771087151189,1990.0_0.0,169.3152329305129
43,43,0,1990,0,0.0,7899.684370180679,1990.0_0.0,208.68148868968743
44,44,0,1990,0,0.0,5594.96569237254,1990.0_0.0,134.43473317853403
45,45,0,1990,0,0.0,10269.219509661923,1990.0_0.0,250.90001436036323
46,46,0,1990,0,0.0,8949.05682042889,1990.0_0.0,218.59225042872615
47,47,0,1990,0,0.0,9183.911479168282,1990.0_0.0,214.14042483466625
48,48,0,1990,0,0.0,9570.984860210938,1990.0_0.0,244.69516261915567
49,49,0,1990,0,0.0,5806.556792228424,1990.0_0.0,166.10415866541194
50,50,0,1990,0,0.0,8897.092963181794,1990.0_0.0,209.15436976225445
51,51,0,1990,0,0.0,8275.350640390361,1990.0_0.0,191.40766850436137
52,52,0,1990,0,0.0,9064.645955727558,1990.0_0.0,235.84719290899648
53,53,0,1990,0,0.0,5780.377020131699,1990.0_0.0,151.154610634933
54,54,0,1990,0,0.0,6024.108450121702,1990.0_0.0,167.68836936828035
55,55,0,1990,0,0.0,9596.947192418644,1990.0_0.0,254.763955079579
56,56,0,1990,0,0.0,6943.7404898284585,1990.0_0.0,202.17067723608488
57,57,0,1990,0,0.0,5190.9741296099,1990.0_0.0,116.68315751366544
58,58,0,1990,0,0.0,8505.750918259952,1990.0_0.0,229.8926104685465
59,59,0,1990,0,0.0,7269.907134151882,1990.0_0.0,172.16490380315648
60,60,0,1990,0,0.0,10962.00551184776,1990.0_0.0,261.2194240074386
61,61,0,1990,0,0.0,8630.073776819056,1990.0_0.0,198.8849327709187
62,62,0,1990,0,0.0,7255.764605682058,1990.0_0.0,177.30522770020252
63,63,0,1990,0,0.0,6882.64827413304,1990.0_0.0,176.50296401312485
64,64,0,1990,0,0.0,5381.704975332792,1990.0_0.0,125.07115777138955
65,65,0,1990,0,0.0,6867.625003087671,1990.0_0.0,173.13254923270983
66,66,0,1990,0,0.0,7243.623603922683,1990.0_0.0,203.15083835191516
67,67,0,1990,0,0.0,8409.044601046266,1990.0_0.0,217.88376986389832
68,68,0,1990,0,0.0,9405.865410710703,1990.0_0.0,214.89002070466063
69,69,0,1990,0,0.0,5866.924759462603,1990.0_0.0,153.0921937592264
70,70,0,1990,0,0.0,12213.0294569667,1990.0_0.0,297.1798073005088
71,71,0,1990,0,0.0,7152.882099771996,1990.0_0.0,158.40121488554058
72,72,0,1990,0,0.0,7680.766253571006,1990.0_0.0,176.4003223275365
73,73,0,1990,0,0.0,9870.080009912781,1990.0_0.0,212.29450178535077
74,74,0,1990,0,0.0,9451.399521322723,1990.0_0.0,238.69288087614
75,75,0,1990,0,0.0,11852.716950258437,1990.0_0.0,258.00361577902817
76,76,0,1990,0,0.0,7821.481352586505,1990.0_0.0,205.548097311726
77,77,0,1990,0,0.0,9137.725050642173,1990.0_0.0,230.66920319665047
78,78,0,1990,0,0.0,13382.732932706444,1990.0_0.0,316.52146553478076
79,79,0,1990,0,0.0,7650.8138040906015,1990.0_0.0,193.52462160996657
80,80,0,1990,0,0.0,6718.32690722364,1990.0_0.0,153.87830322896244
81,81,0,1990,0,0.0,9723.135074329197,1990.0_0.0,238.74424192573866
82,82,0,1990,0,0.0,7204.957573059826,1990.0_0.0,199.98029641833256
83,83,0,1990,0,0.0,6478.06668078121,1990.0_0.0,146.93418008151326
84,84,0,1990,0,0.0,6470.84988968865,1990.0_0.0,162.0346124083789
85,85,0,1990,0,0.0,7930.883651427674,1990.0_0.0,204.77016427234568
86,86,0,1990,0,0.0,11531.676858186322,1990.0_0.0,269.8276311210155
87,87,0,1990,0,0.0,11956.051584497407,1990.0_0.0,295.1317154283364
88,88,0,1990,0,0.0,6840.225593805103,1990.0_0.0,160.55966713977182
89,89,0,1990,0,0.0,7376.326338403238,1990.0_0.0,185.04203544109933
90,90,0,1990,0,0.0,7177.33270093523,1990.0_0.0,191.73640778387934
91,91,0,1990,0,0.0,7310.9153150155835,1990.0_0.0,187.56682833201057
92,92,0,1990,0,0.0,10454.942901247978,1990.0_0.0,253.5375763680056
93,93,0,1990,0,0.0,4934.430941379071,1990.0_0.0,160.44571496890137
94,94,0,1990,0,0.0,9779.09973327143,1990.0_0.0,243.71462246435016
95,95,0,1990,0,0.0,6332.079799633998,1990.0_0.0,172.2900328682392
96,96,0,1990,0,0.0,9982.6714099431,1990.0_0.0,252.130603213029
97,97,0,1990,0,0.0,8971.594177014837,1990.0_0.0,224.27368634481203
98,98,0,1990,0,0.0,10101.32455840207,1990.0_0.0,247.19943468644476
99,99,0,1990,0,0.0,11664.711789917552,1990.0_0.0,279.0436426406601
100,100,0,1990,1,0.0,6772.415639933738,1990.0_0.0,172.88164112211734
101,101,0,1990,1,0.0,10598.289888510144,1990.0_0.0,243.44666122053616
102,102,0,1990,1,0.0,5984.375465115106,1990.0_0.0,154.21694255609424
103,103,0,1990,1,0.0,9349.530895725346,1990.0_0.0,224.6624502806467
104,104,0,1990,1,0.0,9371.507100586028,1990.0_0.0,241.38379455246383
105,105,0,1990,1,0.0,7613.597703826355,1990.0_0.0,186.25210848264166
106,106,0,1990,1,0.0,9958.270356262288,1990.0_0.0,247.77621154440618
107,107,0,1990,1,0.0,8665.269627920557,1990.0_0.0,229.41639175605837
108,108,0,1990,1,0.0,8054.496186951909,1990.0_0.0,177.75612631360303
109,109,0,1990,1,0.0,7382.1658636480315,1990.0_0.0,180.2543685488288
110,110,0,1990,1,0.0,6124.513084612524,1990.0_0.0,161.33453789785136
111,111,0,1990,1,0.0,5787.7178686590605,1990.0_0.0,138.97552393478344
112,112,0,1990,1,0.0,7335.985056046567,1990.0_0.0,170.41284976028055
113,113,0,1990,1,0.0,10617.081819236735,1990.0_0.0,237.66971906233164
114,114,0,1990,1,0.0,6661.8213768455425,1990.0_0.0,171.98257995869847
115,115,0,1990,1,0.0,9884.198104546538,1990.0_0.0,233.04808492425784
116,116,0,1990,1,0.0,6469.664551108978,1990.0_0.0,176.3511415324546
117,117,0,1990,1,0.0,5028.368735876941,1990.0_0.0,129.76173665223118
118,118,0,1990,1,0.0,6800.548712829475,1990.0_0.0,178.29278301340108
119,119,0,1990,1,0.0,6716.077895525799,1990.0_0.0,181.47245351716117
120,120,0,1990,1,0.0,8118.970026098932,1990.0_0.0,208.71348075675382
121,121,0,1990,1,0.0,10306.609171706723,1990.0_0.0,254.6900900907373
122,122,0,1990,1,0.0,5788.576505647851,1990.0_0.0,128.99370127866842
123,123,0,1990,1,0.0,9641.319081915262,1990.0_0.0,213.5677343857798
124,124,0,1990,1,0.0,10427.750252764588,1990.0_0.0,265.9153479616722
125,125,0,1990,1,0.0,6852.060131408427,1990.0_0.0,169.48305773392744
126,126,0,1990,1,0.0,6974.732326384464,1990.0_0.0,161.8382458771589
127,127,0,1990,1,0.0,6744.856684868564,1990.0_0.0,161.4036706843957
128,128,0,1990,1,0.0,8754.918674671897,1990.0_0.0,218.28841419175168
129,129,0,1990,1,0.0,9471.821596572421,1990.0_0.0,240.8565567277555
130,130,0,1990,1,0.0,6559.1373802277185,1990.0_0.0,163.8073096255137
131,131,0,1990,1,0.0,10974.112954776545,1990.0_0.0,269.7212044658993
132,132,0,1990,1,0.0,5759.0970010867795,1990.0_0.0,145.69283420060825
133,133,0,1990,1,0.0,8491.753142972259,1990.0_0.0,218.9931730841889
134,134,0,1990,1,0.0,8667.371646126896,1990.0_0.0,236.87670893302212
135,135,0,1990,1,0.0,6066.082642020152,1990.0_0.0,150.9079024285959
136,136,0,1990,1,0.0,8698.58375205889,1990.0_0.0,235.38775502207648
137,137,0,1990,1,0.0,7709.24616483939,1990.0_0.0,186.67025631454084
138,138,0,1990,1,0.0,9699.009771512483,1990.0_0.0,257.25880845535045
139,139,0,1990,1,0.0,6444.719049441402,1990.0_0.0,170.3670535862115
140,140,0,1990,1,0.0,10960.891248952958,1990.0_0.0,247.48941413941316
141,141,0,1990,1,0.0,8161.490774495025,1990.0_0.0,201.521807658027
142,142,0,1990,1,0.0,11177.123756293113,1990.0_0.0,290.67137759259754
143,143,0,1990,1,0.0,7523.265562688665,1990.0_0.0,186.97500693415873
144,144,0,1990,1,0.0,9129.886054120263,1990.0_0.0,240.4135225045414
145,145,0,1990,1,0.0,9652.621536515957,1990.0_0.0,235.95765990766677
146,146,0,1990,1,0.0,4660.622372523909,1990.0_0.0,130.48748633763216
147,147,0,1990,1,0.0,5319.13337494989,1990.0_0.0,135.79818900041388
148,148,0,1990,1,0.0,8796.427115022601,1990.0_0.0,205.74274899228604
149,149,0,1990,1,0.0,11727.52948968274,1990.0_0.0,267.1513819390777
150,150,0,1990,1,0.0,10327.036889136823,1990.0_0.0,300.677998384168
151,151,0,1990,1,0.0,10971.717707919683,1990.0_0.0,275.5760767075334
152,152,0,1990,1,0.0,5919.960122593969,1990.0_0.0,150.44575968025285
153,153,0,1990,1,0.0,6852.182240347429,1990.0_0.0,174.99978938599122
154,154,0,1990,1,0.0,5822.78919621462,1990.0_0.0,134.7108910230274
155,155,0,1990,1,0.0,8628.454278618792,1990.0_0.0,207.70793115967822
156,156,0,1990,1,0.0,7999.803837278248,1990.0_0.0,189.0817629498811
157,157,0,1990,1,0.0,3920.7885427841907,1990.0_0.0,95.52717504779913
158,158,0,1990,1,0.0,8136.0998752926735,1990.0_0.0,202.07368917562687
159,159,0,1990,1,0.0,5469.809391868892,1990.0_0.0,143.4996459833652
160,160,0,1990,1,0.0,7536.638457930921,1990.0_0.0,208.63011987997118
161,161,0,1990,1,0.0,8439.420442682173,1990.0_0.0,198.48598493241167
162,162,0,1990,1,0.0,7273.517685406516,1990.0_0.0,188.06282133945035
163,163,0,1990,1,0.0,6952.202215632383,1990.0_0.0,181.45323805880605
164,164,0,1990,1,0.0,11540.083000358884,1990.0_0.0,319.52661854079383
165,165,0,1990,1,0.0,6490.589225191292,1990.0_0.0,182.20031249045653
166,166,0,1990,1,0.0,8471.083714470788,1990.0_0.0,209.07936550826744
167,167,0,1990,1,0.0,9566.945387363958,1990.0_0.0,219.61208589434227
168,168,0,1990,1,0.0,6181.371703090463,1990.0_0.0,148.61408880581502
169,169,0,1990,1,0.0,6524.8016400199185,1990.0_0.0,172.2399002387555
